ひみ tomorrow
ひむ tone
ひめ tongue
ひも tonight
ひや tool
ひゆ tooth
ひよ top
ひら topic
ひり topple
ひる torch
ひれ tornado
ひろ tortoise
ひわ toss
ひを total
ひん tourist
ひが toward
ひぎ tower
ひぐ town
ひげ toy
ひご track
ひざ trade
ひじ traffic
ひず tragic
ひぜ train
ひぞ transfer
ひだ trap
ひで trash
ひど travel
ひば tray
ひび treat
ひぶ tree
ひべ trend
ひぼ trial
ひぱ tribe
ひぴ trick
ひぷ trigger
ひぺ trim
ひぽ trip
ふあ trophy
ふい trouble
ふう truck
ふえ true
ふお truly
ふか trumpet
ふき trust
ふく truth
ふけ try
ふこ tube
ふさ tuition
ふし tumble
ふす tuna
ふせ tunnel
ふそ turkey
ふた turn
ふち turtle
ふつ twelve
ふて twenty
ふと twice
ふな twin
ふに twist
ふぬ two
ふね type
ふの typical
ふは ugly
ふひ umbrella
ふふ unable
ふへ unaware
ふほ uncle
ふま uncover
ふみ under
ふむ undo
ふめ unfair
ふも unfold
ふや unhappy
ふゆ uniform
ふよ unique
ふら unit
ふり universe
ふる unknown
ふれ unlock
ふろ until
ふわ unusual
ふを unveil
ふん update
ふが upgrade
ふぎ uphold
ふぐ upon
ふげ upper
ふご upset
ふざ urban
ふじ urge
ふず usage
ふぜ use
ふぞ used
ふだ useful
ふで useless
ふど usual
ふば utility
ふび vacant
ふぶ vacuum
ふべ vague
ふぼ valid
ふぱ valley
ふぴ valve
ふぷ van
ふぺ vanish
ふぽ vapor
へあ various
へい vast
へう vault
へえ vehicle
へお velvet
へか vendor
へき venture
へく venue
へけ verb
へこ verify
へさ version
へし very
へす vessel
へせ veteran
へそ viable
へた vibrant
へち vicious
へつ victory
へて video
へと view
へな village
へに vintage
へぬ violin
へね virtual
への virus
へは visa
へひ visit
へふ visual
へへ vital
へほ vivid
へま vocal
へみ voice
へむ void
へめ volcano
へも volume
へや vote
へゆ voyage
へよ wage
へら wagon
へり wait
へる walk
へれ wall
へろ walnut
へわ want
へを warfare
へん warm
へが warrior
へぎ wash
へぐ wasp
へげ waste
へご water
へざ wave
へじ way
へず wealth
へぜ weapon
へぞ wear
へだ weasel
へで weather
へど web
へば wedding
へび weekend
へぶ weird
へべ welcome
へぼ west
へぱ wet
へぴ whale
へぷ what
へぺ wheat
へぽ wheel
ほあ when
ほい where
ほう whip
ほえ whisper
ほお wide
ほか width
ほき wife
ほく wild
ほけ will
ほこ win
ほさ window
ほし wine
ほす wing
ほせ wink
ほそ winner
ほた winter
ほち wire
ほつ wisdom
ほて wise
ほと wish
ほな witness
ほに wolf
ほぬ woman
ほね wonder
ほの wood
ほは wool
ほひ word
ほふ work
ほへ world
ほほ worry
ほま worth
ほみ wrap
ほむ wreck
ほめ wrestle
ほも wrist
ほや write
ほゆ wrong
ほよ yard
ほら year
ほり yellow
ほる you
ほれ young
ほろ youth
ほわ zebra
ほを zero
ほん zone
ほが zoo
ほぎ abandon
ほぐ ability
ほげ able
ほご about
ほざ above
ほじ absent
ほず absorb
ほぜ abstract
ほぞ absurd
ほだ abuse
ほで access
ほど accident
ほば account
ほび accuse
ほぶ achieve
ほべ acid
ほぼ acoustic
ほぱ acquire
ほぴ across
ほぷ act
ほぺ action
ほぽ actor
まあ actress
まい actual
まう adapt
まえ add
まお addict
まか address
まき adjust
まく admit
まけ adult
まこ advance
まさ advice
まし aerobic
ます affair
ませ afford
まそ afraid
また again
まち age
まつ agent
まて agree
まと ahead
まな aim
まに air
まぬ airport
まね aisle
まの alarm
まは album
まひ alcohol
まふ alert
まへ alien
まほ all
まま alley
まみ allow
まむ almost
まめ alone
まも alpha
まや already
まゆ also
まよ alter
まら always
まり amateur
まる amazing
まれ among
まろ amount
まわ amused
まを analyst
まん anchor
まが ancient
まぎ anger
まぐ angle
まげ angry
まご animal
まざ ankle
まじ announce
まず annual
まぜ another
まぞ answer
まだ antenna
まで antique
まど anxiety
まば any
まび apart
まぶ apology
まべ appear
まぼ apple
まぱ approve
まぴ april
まぷ arch
まぺ arctic
まぽ area
みあ arena
みい argue
みう arm
みえ armed
みお armor
みか army
みき around
みく arrange
みけ arrest
みこ arrive
みさ arrow
みし art
みす artefact
みせ artist
みそ artwork
みた ask
みち aspect
みつ assault
みて asset
みと assist
みな assume
みに asthma
みぬ athlete
みね atom
みの attack
みは attend
みひ attitude
みふ attract
みへ auction
みほ audit
みま august
みみ aunt
みむ author
みめ auto
みも autumn
みや average
みゆ avocado
みよ avoid
みら awake
みり aware
みる away
みれ awesome
みろ awful
みわ awkward
みを axis
みん baby
みが bachelor
みぎ bacon
みぐ badge
みげ bag
みご balance
みざ balcony
みじ ball
みず bamboo
みぜ banana
みぞ banner
みだ bar
みで barely
みど bargain
みば barrel
みび base
みぶ basic
みべ basket
みぼ battle
みぱ beach
みぴ bean
みぷ beauty
みぺ because
みぽ become
むあ beef
むい before
むう begin
むえ behave
むお behind
むか believe
むき below
むく belt
むけ bench
むこ benefit
むさ best
むし betray
むす better
むせ between
むそ beyond
むた bicycle
むち bid
むつ bike
むて bind
むと biology
むな bird
むに birth
むぬ bitter
むね black
むの blade
むは blame
むひ blanket
むふ blast
むへ bleak
むほ bless
むま blind
むみ blood
むむ blossom
むめ blouse
むも blue
むや blur
むゆ blush
むよ board
むら boat
むり body
むる boil
むれ bomb
むろ bone
むわ bonus
むを book
むん boost
むが border
むぎ boring
むぐ borrow
むげ boss
むご bottom
むざ bounce
むじ box
むず boy
むぜ bracket
むぞ brain
むだ brand
むで brass
むど brave
むば bread
むび breeze
むぶ brick
むべ bridge
むぼ brief
むぱ bright
むぴ bring
むぷ brisk
むぺ broccoli
むぽ broken
めあ bronze
めい broom
めう brother
めえ brown
めお brush
めか bubble
めき buddy
めく budget
めけ buffalo
めこ build
めさ bulb
めし bulk
めす bullet
めせ bundle
めそ bunker
めた burden
